店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
夜景のテラスビアガーデン スタミナ・NO．1焼肉上野,050-5486-5589, ,東京都,台東区,上野4-2-5,,https://gf3y403.gorp.jp/,True
いかの墨 新宿駅南口店,050-5484-1374, ,東京都,渋谷区,代々木2-6-3,,https://r425501.gorp.jp/,True
完全個室 海鮮 焼き鳥 海酔‐UMIYOI‐居酒屋 豊田市駅前店,050-5492-3218, ,愛知県,豊田市,若宮町2-25-1,,https://ncba400.gorp.jp/,True
仙台牛タンと炉端焼き タンの里久 新橋店,050-5488-0826, ,東京都,港区,新橋3-14-5,,https://ghjr003.gorp.jp/,True
個室居酒屋×海鮮炉端焼き 喰海（くうかい） 刈谷駅前店,050-5487-7005, ,愛知県,刈谷市,相生町2-30-1,,https://n991806.gorp.jp/,True
本格中国料理 柏林苑‐HAKURINEN‐ 堺筋本町,050-5492-1557, ,大阪府,大阪市,中央区南本町2-2-3,,https://kb6n100.gorp.jp/,True
鮮魚×和牛×地鶏 和食郷土料理 個室居酒屋 しま田 土浦店,050-5489-2864, ,茨城県,土浦市,大和町4-1,,https://gjcv002.gorp.jp/,True
海鮮と日本酒 個室居酒屋 北丸 新宿本店,050-5489-4391, ,東京都,新宿区,新宿4-1-13,,https://ggxb802.gorp.jp/,True
焼き鳥食べ放題 個室居酒屋 安吉酒場 新宿東口ゴジラ横店,050-5493-4956, ,東京都,新宿区,歌舞伎町1-12-3,,https://genu406.gorp.jp/,True
和食郷土料理個室居酒屋 高崎屋 ‐高崎本店‐,050-5486-7480, ,群馬県,高崎市,八島町32-7,,https://gffv700.gorp.jp/,True
全席個室 楽蔵‐RAKUZO‐ 秋葉原駅前店,050-2018-8912, ,東京都,千代田区,神田佐久間町1-16,,,False
個室居酒屋 座楽 渋谷駅前店,050-5485-9704, ,東京都,渋谷区,渋谷1-25-6,,https://gdmy700.gorp.jp/,True
和食居酒屋 一歩,050-5492-3590, ,東京都,新宿区,西新宿1-18-5,,https://ggz9504.gorp.jp/,True
博多串焼きと野菜巻き 完全個室居酒屋 ひなまる 大宮店,050-5493-7749, ,埼玉県,さいたま市,大宮区仲町1-15,,https://gejr317.gorp.jp/,True
和食 完全個室居酒屋 だいもん 大宮店,050-5488-7962, ,埼玉県,さいたま市,大宮区大門町1-69,,https://gezw905.gorp.jp/,True
和食 個室居酒屋 鶏心 江坂本店,050-5486-1265, ,大阪府,吹田市,豊津町9-15,,https://kcs6000.gorp.jp/,True
個室居酒屋 座楽 新宿西口店,050-5494-6401, ,東京都,新宿区,西新宿1-3-1,,https://gdmy712.gorp.jp/,True
個室完備の大衆酒場 炭火焼き鳥と焼きとんのお店 江戸小町 川越店,050-5488-2215, ,埼玉県,川越市,脇田町3-16,,https://gjgh500.gorp.jp/,True
鳥元 新宿東口店,050-5493-7393, ,東京都,新宿区,歌舞伎町1-14-3,,https://gh1f201.gorp.jp/,True
イタリアンバル ポポリ 渋谷店,03-6427-0570, ,東京都,渋谷区,宇田川町28-1,,https://gjfp701.gorp.jp/,True
全席完全個室居酒屋 川端 豊田市駅前店,050-5492-5804, ,愛知県,豊田市,西町1-54,,https://nbje965.gorp.jp/,True
